STATE,SEX,AGEGRP,NMEMB,YEAR
Mississippi,2,60_69,12628,2010
Missouri,1,00_04,19895,2010
Missouri,2,00_04,18846,2010
Missouri,1,05_09,23641,2010
Missouri,2,05_09,22521,2010
Missouri,1,10_19,54433,2010
Missouri,2,10_19,52517,2010
Missouri,1,20_29,34233,2010
Missouri,2,20_29,39777,2010
Missouri,1,30_39,42539,2010
Missouri,2,30_39,50391,2010
Missouri,1,40_49,53395,2010
Missouri,2,40_49,63508,2010
Missouri,1,50_59,57149,2010
Missouri,2,50_59,68443,2010
Missouri,1,60_69,19523,2010
Missouri,2,60_69,22212,2010
Montana,1,00_04,5494,2010
Montana,2,00_04,5211,2010
Montana,1,05_09,6208,2010
Montana,2,05_09,5870,2010
Montana,1,10_19,13196,2010
Montana,2,10_19,12556,2010
Montana,1,20_29,9066,2010
Montana,2,20_29,9762,2010
Montana,1,30_39,10484,2010
Montana,2,30_39,11055,2010
Montana,1,40_49,12371,2010
Montana,2,40_49,13861,2010
Montana,1,50_59,15678,2010
Montana,2,50_59,17229,2010
Montana,1,60_69,5189,2010
Montana,2,60_69,5577,2010
Nebraska,1,00_04,4874,2010
Nebraska,2,00_04,4591,2010
Nebraska,1,05_09,5340,2010
Nebraska,2,05_09,5113,2010
Nebraska,1,10_19,10609,2010
Nebraska,2,10_19,10208,2010
Nebraska,1,20_29,7660,2010
Nebraska,2,20_29,8216,2010
Nebraska,1,30_39,9315,2010
Nebraska,2,30_39,9860,2010
Nebraska,1,40_49,10566,2010
Nebraska,2,40_49,10726,2010
Nebraska,1,50_59,10028,2010
Nebraska,2,50_59,10227,2010
Nebraska,1,60_69,2580,2010
Nebraska,2,60_69,2600,2010
Nevada,1,00_04,7567,2010
Nevada,2,00_04,7120,2010
Nevada,1,05_09,8472,2010
Nevada,2,05_09,8153,2010
Nevada,1,10_19,17645,2010
Nevada,2,10_19,16939,2010
Nevada,1,20_29,10363,2010
Nevada,2,20_29,12295,2010
Nevada,1,30_39,17101,2010
Nevada,2,30_39,18102,2010
Nevada,1,40_49,19773,2010
Nevada,2,40_49,20162,2010
Nevada,1,50_59,18615,2010
Nevada,2,50_59,21167,2010
Nevada,1,60_69,7660,2010
Nevada,2,60_69,8892,2010
New Hampshire,1,00_04,4590,2010
New Hampshire,2,00_04,4295,2010
New Hampshire,1,05_09,6216,2010
New Hampshire,2,05_09,5998,2010
New Hampshire,1,10_19,15604,2010
New Hampshire,2,10_19,15122,2010
New Hampshire,1,20_29,9562,2010
New Hampshire,2,20_29,10940,2010
New Hampshire,1,30_39,12882,2010
New Hampshire,2,30_39,14691,2010
New Hampshire,1,40_49,19207,2010
New Hampshire,2,40_49,21489,2010
New Hampshire,1,50_59,20809,2010
New Hampshire,2,50_59,23531,2010
New Hampshire,1,60_69,7352,2010
New Hampshire,2,60_69,7984,2010
New Jersey,1,00_04,22219,2010
New Jersey,2,00_04,21115,2010
New Jersey,1,05_09,25868,2010
New Jersey,2,05_09,24736,2010
New Jersey,1,10_19,53758,2010
New Jersey,2,10_19,51820,2010
New Jersey,1,20_29,30718,2010
New Jersey,2,20_29,30839,2010
New Jersey,1,30_39,46902,2010
New Jersey,2,30_39,50751,2010
New Jersey,1,40_49,63492,2010
New Jersey,2,40_49,66836,2010
New Jersey,1,50_59,55478,2010
New Jersey,2,50_59,58263,2010
New Jersey,1,60_69,18006,2010
New Jersey,2,60_69,18936,2010
New Mexico,1,00_04,9698,2010
New Mexico,2,00_04,9262,2010
New Mexico,1,05_09,11950,2010
New Mexico,2,05_09,11590,2010
New Mexico,1,10_19,28761,2010
New Mexico,2,10_19,27813,2010
New Mexico,1,20_29,22149,2010
New Mexico,2,20_29,23267,2010
New Mexico,1,30_39,25325,2010
New Mexico,2,30_39,28182,2010
New Mexico,1,40_49,31900,2010
New Mexico,2,40_49,36431,2010
New Mexico,1,50_59,37824,2010
New Mexico,2,50_59,44558,2010
New Mexico,1,60_69,14182,2010
New Mexico,2,60_69,16334,2010
New York,1,00_04,48716,2010
New York,2,00_04,46470,2010
New York,1,05_09,55200,2010
New York,2,05_09,53316,2010
New York,1,10_19,125461,2010
New York,2,10_19,121970,2010
New York,1,20_29,86044,2010
New York,2,20_29,90905,2010
New York,1,30_39,123146,2010
New York,2,30_39,128868,2010
New York,1,40_49,158002,2010
New York,2,40_49,162273,2010
New York,1,50_59,153049,2010
New York,2,50_59,157998,2010
New York,1,60_69,51782,2010
New York,2,60_69,53952,2010
North Carolina,1,00_04,20444,2010
North Carolina,2,00_04,19334,2010
North Carolina,1,05_09,24882,2010
North Carolina,2,05_09,23821,2010
North Carolina,1,10_19,51731,2010
North Carolina,2,10_19,49975,2010
North Carolina,1,20_29,30654,2010
North Carolina,2,20_29,35776,2010
North Carolina,1,30_39,52789,2010
North Carolina,2,30_39,60571,2010
North Carolina,1,40_49,64180,2010
North Carolina,2,40_49,70722,2010
North Carolina,1,50_59,57316,2010
North Carolina,2,50_59,64512,2010
North Carolina,1,60_69,19848,2010
North Carolina,2,60_69,21527,2010
North Dakota,1,00_04,867,2010
North Dakota,2,00_04,843,2010
North Dakota,1,05_09,822,2010
North Dakota,2,05_09,806,2010
North Dakota,1,10_19,1727,2010
North Dakota,2,10_19,1685,2010
North Dakota,1,20_29,1708,2010
North Dakota,2,20_29,1406,2010
North Dakota,1,30_39,1756,2010
North Dakota,2,30_39,1524,2010
North Dakota,1,40_49,1932,2010
North Dakota,2,40_49,1746,2010
North Dakota,1,50_59,1996,2010
North Dakota,2,50_59,1820,2010
North Dakota,1,60_69,460,2010
North Dakota,2,60_69,435,2010
Ohio,1,00_04,45873,2010
Ohio,2,00_04,43727,2010
Ohio,1,05_09,55781,2010
Ohio,2,05_09,53390,2010
Ohio,1,10_19,129230,2010
Ohio,2,10_19,124926,2010
Ohio,1,20_29,73824,2010
Ohio,2,20_29,81554,2010
Ohio,1,30_39,105206,2010
Ohio,2,30_39,114963,2010
Ohio,1,40_49,135757,2010
Ohio,2,40_49,149331,2010
Ohio,1,50_59,149577,2010
Ohio,2,50_59,164563,2010
Ohio,1,60_69,52081,2010
Ohio,2,60_69,54313,2010
Oklahoma,1,00_04,17420,2010
Oklahoma,2,00_04,16413,2010
Oklahoma,1,05_09,20299,2010
Oklahoma,2,05_09,19524,2010
Oklahoma,1,10_19,44421,2010
Oklahoma,2,10_19,42790,2010
Oklahoma,1,20_29,33588,2010
Oklahoma,2,20_29,33310,2010
Oklahoma,1,30_39,40693,2010
Oklahoma,2,30_39,41214,2010
Oklahoma,1,40_49,47077,2010
Oklahoma,2,40_49,48966,2010
Oklahoma,1,50_59,52323,2010
Oklahoma,2,50_59,55974,2010
Oklahoma,1,60_69,17792,2010
Oklahoma,2,60_69,18884,2010
Oregon,1,00_04,9361,2010
Oregon,2,00_04,8861,2010
Oregon,1,05_09,10630,2010
Oregon,2,05_09,10063,2010
Oregon,1,10_19,24999,2010
Oregon,2,10_19,24330,2010
Oregon,1,20_29,15644,2010
Oregon,2,20_29,18592,2010
Oregon,1,30_39,19981,2010
Oregon,2,30_39,23616,2010
Oregon,1,40_49,23273,2010
Oregon,2,40_49,27995,2010
Oregon,1,50_59,28105,2010
Oregon,2,50_59,34637,2010
Oregon,1,60_69,10759,2010
Oregon,2,60_69,12080,2010
Pennsylvania,1,00_04,27434,2010
Pennsylvania,2,00_04,25938,2010
Pennsylvania,1,05_09,32443,2010
Pennsylvania,2,05_09,31707,2010
Pennsylvania,1,10_19,74285,2010
Pennsylvania,2,10_19,71904,2010
Pennsylvania,1,20_29,48789,2010
Pennsylvania,2,20_29,48424,2010
Pennsylvania,1,30_39,66198,2010
Pennsylvania,2,30_39,69632,2010
Pennsylvania,1,40_49,90416,2010
Pennsylvania,2,40_49,96226,2010
Pennsylvania,1,50_59,94095,2010
Pennsylvania,2,50_59,100506,2010
Pennsylvania,1,60_69,31971,2010
Pennsylvania,2,60_69,34023,2010
Rhode Island,1,00_04,1767,2010
Rhode Island,2,00_04,1628,2010
Rhode Island,1,05_09,2116,2010
Rhode Island,2,05_09,1979,2010
Rhode Island,1,10_19,4481,2010
Rhode Island,2,10_19,4278,2010
Rhode Island,1,20_29,3280,2010
Rhode Island,2,20_29,3155,2010
Rhode Island,1,30_39,4255,2010
Rhode Island,2,30_39,4329,2010
Rhode Island,1,40_49,5673,2010
Rhode Island,2,40_49,5922,2010
Rhode Island,1,50_59,5637,2010
Rhode Island,2,50_59,5809,2010
Rhode Island,1,60_69,1949,2010
Rhode Island,2,60_69,1982,2010
South Carolina,1,00_04,27542,2010
South Carolina,2,00_04,26661,2010
South Carolina,1,05_09,33817,2010
South Carolina,2,05_09,32515,2010
South Carolina,1,10_19,74164,2010
South Carolina,2,10_19,71989,2010
South Carolina,1,20_29,48368,2010
South Carolina,2,20_29,56968,2010
South Carolina,1,30_39,69748,2010
South Carolina,2,30_39,83773,2010
South Carolina,1,40_49,86129,2010
South Carolina,2,40_49,104034,2010
South Carolina,1,50_59,90701,2010
South Carolina,2,50_59,114530,2010
South Carolina,1,60_69,33345,2010
South Carolina,2,60_69,40542,2010
South Dakota,1,00_04,1467,2010
South Dakota,2,00_04,1376,2010
South Dakota,1,05_09,1510,2010
South Dakota,2,05_09,1453,2010
South Dakota,1,10_19,2892,2010
South Dakota,2,10_19,2950,2010
South Dakota,1,20_29,2095,2010
South Dakota,2,20_29,2363,2010
South Dakota,1,30_39,2687,2010
South Dakota,2,30_39,2868,2010
South Dakota,1,40_49,2945,2010
South Dakota,2,40_49,3087,2010
South Dakota,1,50_59,2853,2010
South Dakota,2,50_59,2977,2010
South Dakota,1,60_69,969,2010
South Dakota,2,60_69,972,2010
Tennessee,1,00_04,19578,2010
Tennessee,2,00_04,18517,2010
Tennessee,1,05_09,24197,2010
Tennessee,2,05_09,23127,2010
Tennessee,1,10_19,54903,2010
Tennessee,2,10_19,52963,2010
Tennessee,1,20_29,32016,2010
Tennessee,2,20_29,37895,2010
Tennessee,1,30_39,48629,2010
Tennessee,2,30_39,57437,2010
Tennessee,1,40_49,60210,2010
Tennessee,2,40_49,71629,2010
Tennessee,1,50_59,66282,2010
Tennessee,2,50_59,80633,2010
Tennessee,1,60_69,24906,2010
Tennessee,2,60_69,28990,2010
Texas,1,00_04,110904,2010
Texas,2,00_04,106163,2010
Texas,1,05_09,129729,2010
Texas,2,05_09,124265,2010
Texas,1,10_19,285811,2010
Texas,2,10_19,274028,2010
