STATE,SEX,AGEGRP,NMEMB
Vermont,2,00_04,388
Vermont,1,05_09,577
Vermont,2,05_09,546
Vermont,1,10_19,1523
Vermont,2,10_19,1408
Vermont,1,20_29,1567
Vermont,2,20_29,1260
Vermont,1,30_39,1296
Vermont,2,30_39,1187
Vermont,1,40_49,1876
Vermont,2,40_49,1753
Vermont,1,50_59,2519
Vermont,2,50_59,2389
Vermont,1,60_69,908
Vermont,2,60_69,951
Virginia,1,00_04,17846
Virginia,2,00_04,16754
Virginia,1,05_09,21473
Virginia,2,05_09,20902
Virginia,1,10_19,49130
Virginia,2,10_19,46996
Virginia,1,20_29,42669
Virginia,2,20_29,42482
Virginia,1,30_39,42755
Virginia,2,30_39,46946
Virginia,1,40_49,52304
Virginia,2,40_49,56509
Virginia,1,50_59,55505
Virginia,2,50_59,58639
Virginia,1,60_69,16709
Virginia,2,60_69,17940
Washington,1,00_04,14325
Washington,2,00_04,13670
Washington,1,05_09,17256
Washington,2,05_09,16471
Washington,1,10_19,43664
Washington,2,10_19,41817
Washington,1,20_29,39955
Washington,2,20_29,38709
Washington,1,30_39,35280
Washington,2,30_39,37942
Washington,1,40_49,44027
Washington,2,40_49,48495
Washington,1,50_59,58548
Washington,2,50_59,60893
Washington,1,60_69,18092
Washington,2,60_69,18680
Washington DC,1,00_04,462
Washington DC,2,00_04,454
Washington DC,1,05_09,418
Washington DC,2,05_09,354
Washington DC,1,10_19,582
Washington DC,2,10_19,611
Washington DC,1,20_29,1666
Washington DC,2,20_29,1791
Washington DC,1,30_39,2236
Washington DC,2,30_39,2103
Washington DC,1,40_49,1476
Washington DC,2,40_49,1377
Washington DC,1,50_59,1100
Washington DC,2,50_59,1032
Washington DC,1,60_69,303
Washington DC,2,60_69,421
West Virginia,1,00_04,7765
West Virginia,2,00_04,7531
West Virginia,1,05_09,9980
West Virginia,2,05_09,9477
West Virginia,1,10_19,23108
West Virginia,2,10_19,22240
West Virginia,1,20_29,20356
West Virginia,2,20_29,20075
West Virginia,1,30_39,22360
West Virginia,2,30_39,22645
West Virginia,1,40_49,27491
West Virginia,2,40_49,27792
West Virginia,1,50_59,31250
West Virginia,2,50_59,33369
West Virginia,1,60_69,11834
West Virginia,2,60_69,12380
Wisconsin,1,00_04,15229
Wisconsin,2,00_04,14556
Wisconsin,1,05_09,18274
Wisconsin,2,05_09,17811
Wisconsin,1,10_19,42365
Wisconsin,2,10_19,40808
Wisconsin,1,20_29,35017
Wisconsin,2,20_29,35368
Wisconsin,1,30_39,34513
Wisconsin,2,30_39,37299
Wisconsin,1,40_49,41757
Wisconsin,2,40_49,44487
Wisconsin,1,50_59,50470
Wisconsin,2,50_59,54655
Wisconsin,1,60_69,16255
Wisconsin,2,60_69,17059
Wyoming,1,00_04,887
Wyoming,2,00_04,829
Wyoming,1,05_09,1040
Wyoming,2,05_09,1017
Wyoming,1,10_19,2171
Wyoming,2,10_19,2148
Wyoming,1,20_29,2007
Wyoming,2,20_29,1949
Wyoming,1,30_39,2272
Wyoming,2,30_39,1941
Wyoming,1,40_49,2025
Wyoming,2,40_49,1740
Wyoming,1,50_59,2661
Wyoming,2,50_59,2431
Wyoming,1,60_69,839
Wyoming,2,60_69,773
