STATE,SEX,POPSIZE,AGEGRP
Arizona,2,428095,50_59
Arkansas,1,191093,50_59
Arkansas,2,203629,50_59
California,1,2467144,50_59
California,2,2554085,50_59
Colorado,1,354260,50_59
Colorado,2,367294,50_59
Connecticut,1,265314,50_59
Connecticut,2,279427,50_59
Delaware,1,61492,50_59
Delaware,2,69429,50_59
Washington DC,1,36841,50_59
Washington DC,2,37995,50_59
Florida,1,1313988,50_59
Florida,2,1408831,50_59
Georgia,1,633158,50_59
Georgia,2,685015,50_59
Hawaii,1,92440,50_59
Hawaii,2,94287,50_59
Idaho,1,101031,50_59
Idaho,2,104852,50_59
Illinois,1,868987,50_59
Illinois,2,913262,50_59
Indiana,1,449274,50_59
Indiana,2,466518,50_59
Iowa,1,213288,50_59
Iowa,2,216184,50_59
Kansas,1,194259,50_59
Kansas,2,197349,50_59
Kentucky,1,303896,50_59
Kentucky,2,319356,50_59
Louisiana,1,306744,50_59
Louisiana,2,328420,50_59
Maine,1,105247,50_59
Maine,2,110858,50_59
Maryland,1,411363,50_59
Maryland,2,446186,50_59
Massachusetts,1,475211,50_59
Massachusetts,2,501915,50_59
Michigan,1,715644,50_59
Michigan,2,747679,50_59
Minnesota,1,389643,50_59
Minnesota,2,393307,50_59
Mississippi,1,193413,50_59
Mississippi,2,208132,50_59
Missouri,1,418176,50_59
Missouri,2,441542,50_59
Montana,1,75052,50_59
Montana,2,77504,50_59
Nebraska,1,125729,50_59
Nebraska,2,127163,50_59
Nevada,1,183077,50_59
Nevada,2,184754,50_59
New Hampshire,1,106375,50_59
New Hampshire,2,110003,50_59
New Jersey,1,633268,50_59
New Jersey,2,668262,50_59
New Mexico,1,136237,50_59
New Mexico,2,147635,50_59
New York,1,1328959,50_59
New York,2,1425505,50_59
North Carolina,1,643514,50_59
North Carolina,2,696961,50_59
North Dakota,1,49538,50_59
North Dakota,2,48653,50_59
Ohio,1,823628,50_59
Ohio,2,865427,50_59
Oklahoma,1,251952,50_59
Oklahoma,2,261974,50_59
Oregon,1,262366,50_59
Oregon,2,278401,50_59
Pennsylvania,1,928285,50_59
Pennsylvania,2,964101,50_59
Rhode Island,1,75125,50_59
Rhode Island,2,80769,50_59
South Carolina,1,311773,50_59
South Carolina,2,342990,50_59
South Dakota,1,58829,50_59
South Dakota,2,58498,50_59
Tennessee,1,433891,50_59
Tennessee,2,467999,50_59
Texas,1,1623259,50_59
Texas,2,1680040,50_59
Utah,1,148403,50_59
Utah,2,151334,50_59
Vermont,1,49554,50_59
Vermont,2,51668,50_59
Virginia,1,559050,50_59
Virginia,2,593117,50_59
Washington,1,477297,50_59
Washington,2,489504,50_59
West Virginia,1,133092,50_59
West Virginia,2,140351,50_59
Wisconsin,1,422256,50_59
