STATE,SEX,AGEGRP,NMEMB
New Hampshire,1,50_59,6196
New Hampshire,2,50_59,6359
New Hampshire,1,60_69,2297
New Hampshire,2,60_69,2491
New Jersey,1,00_04,15782
New Jersey,2,00_04,14784
New Jersey,1,05_09,18924
New Jersey,2,05_09,17894
New Jersey,1,10_19,41740
New Jersey,2,10_19,40198
New Jersey,1,20_29,35830
New Jersey,2,20_29,34921
New Jersey,1,30_39,34361
New Jersey,2,30_39,38226
New Jersey,1,40_49,45144
New Jersey,2,40_49,48193
New Jersey,1,50_59,49644
New Jersey,2,50_59,53328
New Jersey,1,60_69,17557
New Jersey,2,60_69,19105
New Mexico,1,00_04,1192
New Mexico,2,00_04,1078
New Mexico,1,05_09,1551
New Mexico,2,05_09,1519
New Mexico,1,10_19,3614
New Mexico,2,10_19,3494
New Mexico,1,20_29,3692
New Mexico,2,20_29,3307
New Mexico,1,30_39,3794
New Mexico,2,30_39,3470
New Mexico,1,40_49,3797
New Mexico,2,40_49,3632
New Mexico,1,50_59,4379
New Mexico,2,50_59,4245
New Mexico,1,60_69,1532
New Mexico,2,60_69,1543
New York,1,00_04,39810
New York,2,00_04,37625
New York,1,05_09,47454
New York,2,05_09,45154
New York,1,10_19,109744
New York,2,10_19,105662
New York,1,20_29,115249
New York,2,20_29,113275
New York,1,30_39,102480
New York,2,30_39,111246
New York,1,40_49,119347
New York,2,40_49,133528
New York,1,50_59,154118
New York,2,50_59,176489
New York,1,60_69,66190
New York,2,60_69,76839
North Carolina,1,00_04,15197
North Carolina,2,00_04,14605
North Carolina,1,05_09,19062
North Carolina,2,05_09,18302
North Carolina,1,10_19,42976
North Carolina,2,10_19,41862
North Carolina,1,20_29,37680
North Carolina,2,20_29,39580
North Carolina,1,30_39,39721
North Carolina,2,30_39,46855
North Carolina,1,40_49,51396
North Carolina,2,40_49,57014
North Carolina,1,50_59,51946
North Carolina,2,50_59,57290
North Carolina,1,60_69,18338
North Carolina,2,60_69,20577
North Dakota,1,00_04,406
North Dakota,2,00_04,405
North Dakota,1,05_09,465
North Dakota,2,05_09,409
North Dakota,1,10_19,820
North Dakota,2,10_19,762
North Dakota,1,20_29,997
North Dakota,2,20_29,807
North Dakota,1,30_39,1042
North Dakota,2,30_39,840
North Dakota,1,40_49,847
North Dakota,2,40_49,705
North Dakota,1,50_59,902
North Dakota,2,50_59,825
North Dakota,1,60_69,347
North Dakota,2,60_69,307
Ohio,1,00_04,26503
Ohio,2,00_04,24849
Ohio,1,05_09,30242
Ohio,2,05_09,28790
Ohio,1,10_19,70760
Ohio,2,10_19,67156
Ohio,1,20_29,63223
Ohio,2,20_29,63994
Ohio,1,30_39,60662
Ohio,2,30_39,66830
Ohio,1,40_49,71466
Ohio,2,40_49,76876
Ohio,1,50_59,81779
Ohio,2,50_59,91732
Ohio,1,60_69,34068
Ohio,2,60_69,37807
Oklahoma,1,00_04,6747
Oklahoma,2,00_04,6439
Oklahoma,1,05_09,8446
Oklahoma,2,05_09,8006
Oklahoma,1,10_19,19714
Oklahoma,2,10_19,19279
Oklahoma,1,20_29,18434
Oklahoma,2,20_29,21020
Oklahoma,1,30_39,17714
Oklahoma,2,30_39,23408
Oklahoma,1,40_49,19355
Oklahoma,2,40_49,26391
Oklahoma,1,50_59,23733
Oklahoma,2,50_59,32904
Oklahoma,1,60_69,10895
Oklahoma,2,60_69,14913
Oregon,1,00_04,7083
Oregon,2,00_04,6600
Oregon,1,05_09,8477
Oregon,2,05_09,8146
Oregon,1,10_19,18816
Oregon,2,10_19,17905
Oregon,1,20_29,15016
Oregon,2,20_29,15870
Oregon,1,30_39,16345
Oregon,2,30_39,18916
Oregon,1,40_49,19041
Oregon,2,40_49,21415
Oregon,1,50_59,19769
Oregon,2,50_59,23156
Oregon,1,60_69,8422
Oregon,2,60_69,9871
Pennsylvania,1,00_04,17183
Pennsylvania,2,00_04,16305
Pennsylvania,1,05_09,19760
Pennsylvania,2,05_09,18953
Pennsylvania,1,10_19,44440
Pennsylvania,2,10_19,43010
Pennsylvania,1,20_29,43829
Pennsylvania,2,20_29,43295
Pennsylvania,1,30_39,42685
Pennsylvania,2,30_39,45625
Pennsylvania,1,40_49,49989
Pennsylvania,2,40_49,53089
Pennsylvania,1,50_59,59194
Pennsylvania,2,50_59,63424
Pennsylvania,1,60_69,22849
Pennsylvania,2,60_69,24422
Rhode Island,1,00_04,1233
Rhode Island,2,00_04,1226
Rhode Island,1,05_09,1332
Rhode Island,2,05_09,1292
Rhode Island,1,10_19,2982
Rhode Island,2,10_19,2850
Rhode Island,1,20_29,3582
Rhode Island,2,20_29,3059
Rhode Island,1,30_39,3628
Rhode Island,2,30_39,3486
Rhode Island,1,40_49,3498
Rhode Island,2,40_49,3551
Rhode Island,1,50_59,4429
Rhode Island,2,50_59,4774
Rhode Island,1,60_69,1737
Rhode Island,2,60_69,1713
South Carolina,1,00_04,26221
South Carolina,2,00_04,24941
South Carolina,1,05_09,30831
South Carolina,2,05_09,29590
South Carolina,1,10_19,72567
South Carolina,2,10_19,69757
South Carolina,1,20_29,72009
South Carolina,2,20_29,78830
South Carolina,1,30_39,72313
South Carolina,2,30_39,88612
South Carolina,1,40_49,86530
South Carolina,2,40_49,104795
South Carolina,1,50_59,97646
South Carolina,2,50_59,124399
South Carolina,1,60_69,43555
South Carolina,2,60_69,57825
South Dakota,1,00_04,862
South Dakota,2,00_04,819
South Dakota,1,05_09,1038
South Dakota,2,05_09,886
South Dakota,1,10_19,1936
South Dakota,2,10_19,1800
South Dakota,1,20_29,1750
South Dakota,2,20_29,1795
South Dakota,1,30_39,1907
South Dakota,2,30_39,1925
South Dakota,1,40_49,1768
South Dakota,2,40_49,1822
South Dakota,1,50_59,1925
South Dakota,2,50_59,2043
